Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Followers,Is_Verified,Length_Referent_Text,Number_Verified_Annotations,Pinned,Class
FALSE,accepted,0,FALSE,2503,TRUE,166,0,FALSE,low
FALSE,unreviewed,0,FALSE,2660,FALSE,86,0,FALSE,low
FALSE,accepted,0,FALSE,8610,FALSE,26,0,FALSE,high
FALSE,accepted,0,FALSE,2503,TRUE,39,0,FALSE,low
FALSE,accepted,0,TRUE,598,FALSE,80,0,FALSE,low
TRUE,verified,1,TRUE,8610,FALSE,141,2,TRUE,high
TRUE,verified,1,TRUE,8610,FALSE,49,4,TRUE,high
FALSE,accepted,0,TRUE,21495,TRUE,61,0,FALSE,high
FALSE,accepted,0,FALSE,693,FALSE,55,0,FALSE,low
FALSE,accepted,0,FALSE,419,FALSE,179,0,FALSE,low
FALSE,unreviewed,0,FALSE,38,FALSE,30,0,FALSE,low
FALSE,accepted,1,FALSE,693,FALSE,71,0,FALSE,high
FALSE,accepted,0,TRUE,2503,TRUE,39,0,FALSE,high
FALSE,accepted,0,FALSE,693,FALSE,62,1,FALSE,high
FALSE,accepted,0,FALSE,10964,FALSE,54,0,FALSE,high
FALSE,accepted,0,FALSE,10964,FALSE,12,0,FALSE,low
FALSE,accepted,0,FALSE,693,FALSE,58,0,FALSE,low
FALSE,accepted,1,FALSE,419,FALSE,20,0,FALSE,low
FALSE,accepted,5,FALSE,8610,FALSE,50,1,FALSE,high
FALSE,accepted,0,FALSE,2503,TRUE,29,0,FALSE,low
FALSE,accepted,0,FALSE,17568,TRUE,53,0,FALSE,high
FALSE,unreviewed,0,FALSE,598,FALSE,127,0,FALSE,low
FALSE,accepted,0,FALSE,8610,FALSE,47,0,FALSE,high
FALSE,accepted,0,TRUE,8610,FALSE,100,4,FALSE,high
FALSE,accepted,0,FALSE,2503,TRUE,117,0,FALSE,low
FALSE,accepted,1,TRUE,2503,TRUE,176,0,FALSE,low
FALSE,accepted,3,FALSE,21495,TRUE,55,2,FALSE,high
FALSE,unreviewed,0,FALSE,2660,FALSE,95,0,FALSE,low
FALSE,unreviewed,0,FALSE,2503,TRUE,76,0,FALSE,low
FALSE,unreviewed,1,TRUE,17568,TRUE,64,7,FALSE,low
FALSE,accepted,2,FALSE,2503,TRUE,82,0,FALSE,low
FALSE,accepted,0,FALSE,2660,FALSE,102,0,FALSE,low
FALSE,accepted,0,TRUE,8610,FALSE,16,2,FALSE,high
FALSE,accepted,0,FALSE,693,FALSE,259,0,FALSE,high
FALSE,accepted,1,FALSE,2503,TRUE,53,0,FALSE,low
FALSE,unreviewed,4,TRUE,17568,TRUE,36,0,FALSE,high
FALSE,accepted,4,FALSE,8610,FALSE,148,0,FALSE,high
FALSE,unreviewed,3,TRUE,598,FALSE,60,0,FALSE,low
FALSE,accepted,0,FALSE,2503,TRUE,28,0,FALSE,low
FALSE,accepted,1,TRUE,17568,TRUE,53,0,FALSE,high
FALSE,accepted,0,FALSE,8610,FALSE,40,0,FALSE,high
TRUE,verified,4,TRUE,8610,FALSE,76,6,TRUE,high
FALSE,accepted,0,TRUE,2503,TRUE,45,0,FALSE,low
FALSE,accepted,3,TRUE,10964,FALSE,107,1,FALSE,high
FALSE,accepted,0,FALSE,419,FALSE,75,0,FALSE,high
FALSE,accepted,0,TRUE,21495,TRUE,491,0,FALSE,high
FALSE,accepted,0,FALSE,8610,FALSE,61,0,FALSE,high
FALSE,accepted,0,TRUE,10964,FALSE,126,0,FALSE,high
FALSE,accepted,1,TRUE,17568,TRUE,48,0,FALSE,high
FALSE,accepted,0,TRUE,17568,TRUE,29,2,FALSE,high
FALSE,accepted,0,TRUE,21495,TRUE,32,0,FALSE,high
FALSE,accepted,1,TRUE,10964,FALSE,58,0,FALSE,high
TRUE,accepted,0,TRUE,10964,FALSE,94,12,FALSE,low
FALSE,unreviewed,0,FALSE,598,FALSE,46,0,FALSE,low
FALSE,unreviewed,0,FALSE,2660,FALSE,5,0,FALSE,low
FALSE,accepted,0,FALSE,2503,TRUE,15,0,FALSE,low
TRUE,verified,43,FALSE,21495,TRUE,48,1,TRUE,high
FALSE,accepted,1,TRUE,598,FALSE,148,0,FALSE,high
FALSE,accepted,0,TRUE,2503,TRUE,240,0,FALSE,low
FALSE,accepted,0,FALSE,693,FALSE,70,0,FALSE,low
FALSE,accepted,3,TRUE,10964,FALSE,44,0,FALSE,low
FALSE,accepted,0,FALSE,10964,FALSE,106,0,FALSE,high
FALSE,accepted,0,FALSE,2660,FALSE,158,0,FALSE,low
FALSE,accepted,0,FALSE,2660,FALSE,125,0,FALSE,high
FALSE,accepted,0,TRUE,17568,TRUE,55,2,FALSE,low
FALSE,accepted,0,FALSE,10964,FALSE,97,0,FALSE,high
FALSE,accepted,3,FALSE,2660,FALSE,74,0,FALSE,low
FALSE,accepted,0,TRUE,10964,FALSE,24,0,FALSE,high
FALSE,accepted,0,FALSE,2660,FALSE,28,0,FALSE,low
FALSE,accepted,0,FALSE,693,FALSE,106,0,FALSE,low
FALSE,accepted,1,FALSE,2503,TRUE,40,0,FALSE,low
FALSE,accepted,0,FALSE,693,FALSE,20,0,FALSE,low
FALSE,accepted,0,FALSE,2660,FALSE,31,0,FALSE,high
FALSE,accepted,1,TRUE,17568,TRUE,24,0,FALSE,high
FALSE,unreviewed,0,FALSE,38,FALSE,45,0,FALSE,low
FALSE,accepted,0,FALSE,2503,TRUE,25,0,FALSE,low
FALSE,accepted,1,FALSE,10964,FALSE,45,0,FALSE,high
FALSE,unreviewed,0,TRUE,598,FALSE,43,0,FALSE,low
FALSE,accepted,1,FALSE,2503,TRUE,11,0,FALSE,low
FALSE,accepted,0,FALSE,8610,FALSE,117,1,FALSE,high
FALSE,unreviewed,0,FALSE,693,FALSE,50,0,FALSE,low
FALSE,unreviewed,1,FALSE,419,FALSE,49,0,FALSE,low
FALSE,unreviewed,1,FALSE,693,FALSE,126,0,FALSE,low
FALSE,accepted,0,FALSE,10964,FALSE,90,0,FALSE,high
FALSE,accepted,2,TRUE,2660,FALSE,45,0,FALSE,high
FALSE,accepted,1,FALSE,693,FALSE,110,0,FALSE,high
FALSE,accepted,1,FALSE,693,FALSE,21,0,FALSE,high
FALSE,accepted,0,TRUE,2503,TRUE,94,0,FALSE,low
FALSE,accepted,3,FALSE,693,FALSE,43,0,FALSE,low
FALSE,accepted,1,FALSE,598,FALSE,96,0,FALSE,low
FALSE,unreviewed,0,FALSE,598,FALSE,1,0,FALSE,low
FALSE,accepted,0,TRUE,598,FALSE,199,0,FALSE,low
FALSE,accepted,1,FALSE,2660,FALSE,376,0,FALSE,high
FALSE,unreviewed,1,FALSE,2660,FALSE,115,0,FALSE,high
FALSE,accepted,1,FALSE,419,FALSE,47,0,FALSE,low
FALSE,accepted,0,FALSE,2660,FALSE,34,1,FALSE,low
FALSE,accepted,0,TRUE,21495,TRUE,16,3,FALSE,high
FALSE,accepted,1,TRUE,8610,FALSE,52,0,FALSE,high
FALSE,accepted,0,TRUE,2503,TRUE,128,4,FALSE,high
FALSE,unreviewed,0,FALSE,419,FALSE,39,0,FALSE,low
FALSE,accepted,0,TRUE,693,FALSE,48,0,FALSE,low
FALSE,accepted,0,TRUE,21495,TRUE,63,2,FALSE,high
FALSE,unreviewed,0,TRUE,17568,TRUE,241,0,FALSE,low
FALSE,unreviewed,0,FALSE,419,FALSE,145,0,FALSE,low
FALSE,unreviewed,0,FALSE,598,FALSE,163,0,FALSE,low
FALSE,unreviewed,0,FALSE,598,FALSE,228,0,FALSE,low
FALSE,accepted,1,TRUE,17568,TRUE,31,0,FALSE,high
FALSE,accepted,1,FALSE,2503,TRUE,63,0,FALSE,low
FALSE,accepted,5,TRUE,17568,TRUE,13,0,FALSE,high
FALSE,accepted,0,FALSE,693,FALSE,76,0,FALSE,high
TRUE,verified,3,FALSE,21495,TRUE,84,3,TRUE,high
FALSE,accepted,0,TRUE,17568,TRUE,85,0,FALSE,high
