Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Is_Verified,Length_Referent_Text,Number_Verified_Annotations,Pinned,Total_Votes_log
FALSE,accepted,0,TRUE,TRUE,65,2,FALSE,0.698970004
FALSE,accepted,4,TRUE,TRUE,92,0,FALSE,1.477121255
FALSE,accepted,0,FALSE,FALSE,78,0,FALSE,1.380211242
FALSE,accepted,0,FALSE,FALSE,29,0,FALSE,1.397940009
FALSE,accepted,2,FALSE,FALSE,104,0,FALSE,1.414973348
FALSE,accepted,0,FALSE,TRUE,276,0,FALSE,2.394451681
FALSE,unreviewed,0,FALSE,FALSE,35,0,FALSE,0
TRUE,verified,22,TRUE,TRUE,7,4,TRUE,3.01745073
FALSE,accepted,0,TRUE,TRUE,41,0,FALSE,1
FALSE,accepted,0,FALSE,TRUE,7,0,FALSE,1.301029996
FALSE,accepted,1,FALSE,FALSE,278,0,FALSE,2.482873584
FALSE,unreviewed,0,FALSE,FALSE,135,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,111,0,FALSE,1.973127854
TRUE,verified,0,TRUE,FALSE,176,3,TRUE,2.120573931
FALSE,accepted,2,TRUE,FALSE,9,2,FALSE,1.785329835
FALSE,accepted,1,FALSE,TRUE,279,0,FALSE,0.903089987
FALSE,accepted,0,TRUE,TRUE,35,0,FALSE,0.954242509
FALSE,accepted,1,TRUE,FALSE,7,3,FALSE,0.84509804
FALSE,accepted,0,TRUE,FALSE,25,0,FALSE,1.380211242
FALSE,unreviewed,0,FALSE,FALSE,78,0,FALSE,0.602059991
FALSE,accepted,1,TRUE,TRUE,6,3,FALSE,2.089905111
TRUE,verified,12,TRUE,FALSE,67,9,TRUE,2.021189299
FALSE,accepted,0,TRUE,TRUE,23,0,FALSE,1.556302501
FALSE,accepted,2,TRUE,FALSE,120,0,FALSE,1.924279286
FALSE,accepted,0,FALSE,FALSE,19,0,FALSE,1.612783857
FALSE,accepted,2,TRUE,TRUE,22,2,FALSE,1.612783857
FALSE,unreviewed,0,FALSE,FALSE,30,0,FALSE,0.602059991
FALSE,unreviewed,0,FALSE,FALSE,39,0,FALSE,0
FALSE,accepted,0,TRUE,FALSE,139,0,FALSE,2.201397124
FALSE,unreviewed,0,FALSE,TRUE,30,0,FALSE,0
FALSE,accepted,0,FALSE,TRUE,94,0,FALSE,1.397940009
FALSE,accepted,0,FALSE,TRUE,46,0,FALSE,0.954242509
FALSE,accepted,0,TRUE,TRUE,61,0,FALSE,0.954242509
FALSE,unreviewed,0,FALSE,FALSE,69,0,FALSE,0
FALSE,unreviewed,0,FALSE,FALSE,25,0,FALSE,0
FALSE,accepted,0,TRUE,FALSE,14,0,FALSE,0.954242509
FALSE,unreviewed,0,FALSE,FALSE,80,0,FALSE,0.301029996
FALSE,accepted,0,TRUE,TRUE,127,1,FALSE,1.826074803
FALSE,accepted,1,FALSE,FALSE,21,0,FALSE,0
FALSE,accepted,1,FALSE,FALSE,52,0,FALSE,1.079181246
FALSE,accepted,0,FALSE,TRUE,191,0,FALSE,2
FALSE,accepted,2,FALSE,FALSE,75,0,FALSE,1.041392685
FALSE,unreviewed,1,FALSE,FALSE,8,0,FALSE,0
FALSE,accepted,0,TRUE,TRUE,73,0,FALSE,2.021189299
FALSE,accepted,0,FALSE,TRUE,20,0,FALSE,1.342422681
FALSE,accepted,0,FALSE,FALSE,158,0,FALSE,2.217483944
FALSE,accepted,0,FALSE,TRUE,37,1,FALSE,1.799340549
FALSE,accepted,0,FALSE,TRUE,74,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,91,2,FALSE,1.380211242
FALSE,accepted,2,TRUE,FALSE,160,0,FALSE,1.505149978
FALSE,accepted,0,FALSE,FALSE,42,0,FALSE,0.602059991
FALSE,accepted,0,FALSE,FALSE,49,0,FALSE,2.130333768
FALSE,accepted,0,FALSE,FALSE,61,0,FALSE,0.301029996
FALSE,unreviewed,0,FALSE,FALSE,136,0,FALSE,0
FALSE,accepted,0,TRUE,TRUE,185,0,FALSE,1.579783597
FALSE,accepted,0,FALSE,FALSE,82,0,FALSE,0.698970004
FALSE,unreviewed,2,FALSE,FALSE,43,0,FALSE,0.301029996
FALSE,accepted,0,FALSE,TRUE,30,0,FALSE,0.602059991
FALSE,unreviewed,0,FALSE,FALSE,18,0,FALSE,0
FALSE,unreviewed,0,FALSE,FALSE,50,0,FALSE,0
FALSE,accepted,1,TRUE,TRUE,43,0,FALSE,0.698970004
FALSE,accepted,5,FALSE,TRUE,191,0,FALSE,2.274157849
FALSE,unreviewed,0,FALSE,FALSE,26,0,FALSE,0
FALSE,unreviewed,0,FALSE,FALSE,62,0,FALSE,0
TRUE,verified,6,TRUE,FALSE,6,6,TRUE,2.440909082
FALSE,accepted,0,FALSE,FALSE,105,0,FALSE,1.301029996
TRUE,accepted,0,FALSE,FALSE,31,26,FALSE,0.903089987
FALSE,unreviewed,0,FALSE,FALSE,18,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,88,0,FALSE,0.903089987
FALSE,accepted,2,FALSE,TRUE,88,0,FALSE,0.602059991
FALSE,accepted,1,TRUE,FALSE,41,0,FALSE,0.77815125
FALSE,accepted,2,FALSE,FALSE,79,0,FALSE,0
FALSE,unreviewed,0,TRUE,TRUE,66,1,FALSE,0
FALSE,accepted,0,TRUE,FALSE,94,0,FALSE,2.004321374
FALSE,accepted,1,TRUE,TRUE,61,1,FALSE,1.041392685
