Accepted_Annotations,Annotation_Count,Comment_Count,Followers,Length_Referent_Text,Number_Contributors,Number_Verified_Annotations,Page_Views,Pyong_Count,Release_Date
17,20,0,17568,66,152,1,1204637,210,5733
12,13,0,10964,94,168,0,5132018,475,1747
55,57,1,17568,61,290,1,1404525,294,1685
55,66,0,419,39,50,0,49068,6,10877
84,89,0,21495,42,552,4,5613108,2095,2036
41,49,0,693,44,63,0,57364,6,7936
35,39,0,8610,32,365,3,3306405,290,826
36,40,0,21495,22,363,3,4131701,623,2036
33,34,0,693,30,66,0,55269,10,7936
6,12,0,598,41,58,0,200216,107,7320
27,29,0,2660,14,142,0,589526,94,8179
60,62,0,10964,40,199,1,2718643,228,1793
53,54,0,8610,67,315,0,1536371,192,853
45,47,0,10964,47,234,1,2749197,1861,1300
9,23,0,419,17,47,0,68548,16,9854
25,26,0,8610,202,239,0,1480434,207,2914
31,32,0,693,43,121,0,751230,95,6438
38,40,0,17568,164,147,0,1054515,245,4773
25,26,0,8610,143,273,0,1657441,82,751
2,17,0,38,26,6,0,1382475,260,931
5,18,1,419,96,20,0,26872,10,9854
22,28,0,8610,109,167,0,2147517,91,2126
42,48,1,2503,99,104,0,315757,44,4252
55,66,0,419,43,50,0,49068,6,10877
26,27,0,693,104,84,0,174452,23,7249
21,22,0,8610,139,171,0,1491573,99,826
32,42,52,8610,59,515,9,5296468,341,887
12,13,0,10964,17,168,0,5132018,475,1747
17,18,1,2503,52,59,0,211688,13,1986
44,57,0,598,56,78,0,44223,4,7467
39,43,79,17568,105,455,3,4139198,785,1664
16,22,1,2660,89,95,1,234474,28,8132
15,23,1,598,62,32,0,27804,75,6725
48,49,1,2503,66,97,0,143815,41,954
39,42,1,21495,31,393,2,7086094,669,2034
8,16,0,598,146,27,0,182769,80,7306
34,36,0,2503,166,176,0,336606,54,1017
14,22,0,2660,86,90,0,403463,54,8132
11,12,0,8610,26,119,0,1381659,86,826
66,67,0,2503,39,117,0,275989,163,1434
26,37,0,598,80,34,0,80238,12,4252
33,36,1,8610,141,335,2,5070070,372,2441
55,62,1,8610,49,226,4,1891346,94,2074
17,18,0,21495,61,319,0,3190791,366,625
16,19,0,693,55,27,0,66018,10,5353
36,49,0,419,179,42,0,65899,6,10141
0,9,0,38,30,4,0,1382475,3,1308
19,20,1,693,71,50,0,93670,33,7173
51,52,0,2503,39,151,0,698013,73,2466
26,29,0,693,62,62,1,155005,25,6935
13,14,0,10964,54,93,0,2256798,1395,1111
42,43,0,10964,12,195,0,3081814,165,2378
22,27,0,693,58,82,0,207559,26,7173
14,23,1,419,20,34,0,27247,6,9854
25,27,5,8610,50,237,1,2391365,254,1797
29,36,0,2503,29,43,0,140356,6,2150
12,13,0,17568,53,229,0,2590584,402,156
21,33,0,598,127,41,0,34642,7,7369
65,67,0,8610,47,362,0,2968632,314,2766
24,29,0,8610,100,195,4,2724546,198,2477
29,36,0,2503,117,43,0,140356,6,2150
19,20,1,2503,176,45,0,273854,10,699
134,137,3,21495,55,714,2,4168155,573,1742
30,35,0,2660,95,152,0,245908,29,7906
29,36,0,2503,76,43,0,140356,6,2150
40,50,1,17568,64,411,7,1221363,153,471
17,18,2,2503,82,59,0,211688,13,1986
26,28,0,2660,102,128,0,323029,54,8132
33,36,0,8610,16,335,2,5070070,372,2441
13,18,0,693,259,95,0,932378,84,5367
50,52,1,2503,53,79,0,138877,22,2595
53,55,4,17568,36,322,0,1121576,254,2784
25,26,4,8610,148,273,0,1657441,82,751
8,16,3,598,60,27,0,182769,80,7306
44,46,0,2503,28,76,0,158330,11,1986
18,22,1,17568,53,172,0,828968,227,2528
24,25,0,8610,40,175,0,1691176,204,863
62,69,4,8610,76,372,6,6159849,319,2238
34,36,0,2503,45,100,0,541196,28,2086
45,47,3,10964,107,234,1,2749197,1861,1300
33,38,0,419,75,106,0,380781,29,10849
51,52,0,21495,491,360,0,2016243,1267,1162
38,39,0,8610,61,262,0,1497028,996,1175
9,10,0,10964,126,252,0,6148182,583,1030
53,55,1,17568,48,322,0,1121576,254,2784
48,51,0,17568,29,292,2,1384638,302,6578
23,24,0,21495,32,382,0,3709414,1885,1162
45,46,1,10964,58,191,0,2798227,1397,1207
22,35,0,10964,94,149,12,2449361,452,1192
35,42,0,598,46,48,0,37416,56,7306
14,22,0,2660,5,90,0,403463,54,8132
43,48,0,2503,15,90,0,284677,40,1986
22,24,43,21495,48,366,1,2267806,211,401
24,27,1,598,148,125,0,1136917,296,1664
19,20,0,2503,240,45,0,273854,10,699
22,27,0,693,70,82,0,207559,26,7173
25,27,3,10964,44,153,0,2542718,168,2217
7,8,0,10964,106,220,0,2378626,165,428
22,26,0,2660,158,41,0,415789,59,5701
19,22,0,2660,125,111,0,383454,65,7917
31,34,0,17568,55,212,2,848363,144,7055
28,29,0,10964,97,220,0,2943027,172,973
4,9,3,2660,74,21,0,409421,30,6389
9,10,0,10964,24,252,0,6148182,583,1030
34,35,0,2660,28,80,0,243325,28,8020
54,58,0,693,106,111,0,77481,31,5353
50,57,1,2503,40,88,0,188652,27,1986
15,18,0,693,20,39,0,75496,17,5353
30,35,0,2660,31,152,0,245908,29,7906
55,56,1,17568,24,281,0,1478231,259,5843
0,2,0,38,45,6,0,11447,8,1115
73,76,0,2503,25,141,0,562484,46,2466
7,8,1,10964,45,220,0,2378626,165,428
8,16,0,598,43,27,0,182769,80,7306
110,117,1,2503,11,149,0,314608,338,1475
25,27,0,8610,117,237,1,2391365,254,1797
41,49,0,693,50,63,0,57364,6,7936
21,26,1,419,49,56,0,87650,17,6845
13,18,1,693,126,95,0,932378,84,5367
23,24,0,10964,90,398,0,4498975,1263,1026
20,23,2,2660,45,146,0,897768,206,8489
8,10,1,693,110,34,0,74409,10,5353
19,20,1,693,21,50,0,93670,33,7173
29,30,0,2503,94,110,0,505744,68,4860
23,24,3,693,43,60,0,53974,9,7210
19,21,1,598,96,28,0,154723,78,6725
11,20,0,598,1,36,0,29021,51,7089
8,16,0,598,199,27,0,182769,80,7306
26,28,1,2660,376,128,0,323029,54,8132
30,35,1,2660,115,152,0,245908,29,7906
7,18,1,419,47,25,0,30890,4,9854
39,47,0,2660,34,231,1,1028013,143,7768
36,40,0,21495,16,363,3,4131701,623,2036
21,22,1,8610,52,171,0,1491573,99,826
7,12,0,2503,128,51,4,227520,30,627
24,33,0,419,39,22,0,40285,2,9854
30,32,0,693,48,70,0,233864,72,6277
39,42,0,21495,63,393,2,7086094,669,2034
29,32,0,17568,241,175,0,990612,273,3204
1,12,0,419,145,8,0,41280,2,10877
4,13,0,598,163,21,0,28888,55,7306
9,16,0,598,228,28,0,33035,77,7404
48,50,1,17568,31,235,0,962445,310,2943
57,58,1,2503,63,157,0,183015,19,611
55,56,5,17568,13,281,0,1478231,259,5843
33,34,0,693,76,66,0,55269,10,7936
103,107,3,21495,84,399,3,1792776,310,1951
24,25,0,17568,85,278,0,1050140,672,1125
52,55,0,693,45,64,1,54408,12,8735
47,49,0,2503,68,181,0,884987,117,1986
20,25,0,419,31,28,0,41912,8,10877
32,35,0,2660,53,85,0,276104,35,7866
23,24,4,10964,71,398,0,4498975,1263,1026
23,24,0,693,53,60,0,53974,9,7210
38,39,0,8610,30,262,0,1497028,996,1175
2,17,0,38,114,6,0,1382475,260,931
40,42,0,17568,32,243,0,1365257,610,1565
19,21,1,2503,52,63,0,199159,9,4870
48,51,3,17568,83,292,2,1384638,302,6578
36,40,0,21495,108,363,3,4131701,623,2036
59,65,0,17568,12,375,3,1680661,430,6389
25,26,1,8610,167,273,0,1657441,82,751
14,27,0,419,152,58,0,93873,13,10415
33,38,0,419,19,106,0,380781,29,10849
4,13,0,598,66,21,0,28888,55,7306
10,11,2,10964,225,237,0,5521909,201,775
30,31,0,21495,25,359,0,2563987,651,1162
48,49,0,2503,60,97,0,143815,41,954
44,57,0,598,146,78,0,44223,4,7467
50,52,0,2503,46,79,0,138877,22,2595
17,18,1,21495,40,319,0,3190791,366,625
